Abeokuta,7.161,3.348,,https://www.openstreetmap.org/node/27565109#map=12/7.1612/3.3481,
Ado-Agbessa,,,,,Could not find
Afijio,7.713611,3.917222,Fiditi,https://www.openstreetmap.org/node/501492342#map=15/7.7136/3.9172,https://en.wikipedia.org/wiki/Afijio
Agege,6.6229165,3.3203386,,https://www.openstreetmap.org/node/501464088#map=14/6.6229/3.3204,
Aiyedade,7.3441,4.2991,,https://www.openstreetmap.org/relation/3718721#map=11/7.3441/4.2991,
Ajeromi,6.4554,3.3359,,https://www.openstreetmap.org/relation/3718184#map=15/6.4554/3.3359,
Akoko South,,,,https://www.openstreetmap.org/search?query=Akoko%20south#map=13/7.4166/5.8094,Needs review
Akoko West,,,,https://www.openstreetmap.org/search?query=Akoko%20west#map=13/7.4166/5.8094,Needs review
Awori,7,3.85,,https://www.openstreetmap.org/node/501381345#map=14/7.0000/3.8500,
Edunabon_Moro,7.55,4.45094,,https://www.openstreetmap.org/node/501465439#map=18/7.55000/4.45094,
Egba-Ikereku,,,,,
Egbedore,7.7887,4.4445,,https://www.openstreetmap.org/search?query=egbedore#map=12/7.7887/4.4445,
Egun-Awori,6.6333,2.8333,,https://www.openstreetmap.org/search?query=egun#map=12/6.6333/2.8333,Exact district council not found
Ekiti Northern,,,,,
Ekiti Western,,,,,
Eredo,6.70836,3.9146,,https://www.openstreetmap.org/node/501485219#map=18/6.70836/3.91460,4 different villages found
,,,,https://www.openstreetmap.org/node/501333531#map=18/6.64236/3.99078,
,,,,https://www.openstreetmap.org/node/501330768#map=18/6.96206/3.79770,
,,,,https://www.openstreetmap.org/node/501430386#map=18/6.77085/3.00205,
Ese-Odo,6.2309,4.9821,,https://www.openstreetmap.org/search?query=ese-odo#map=11/6.2309/4.9821,
Ibarapa East,7.5854,3.5173,,https://www.openstreetmap.org/search?query=ibarapa%20east#map=11/7.5854/3.5173,
Ibarapa West,,,,https://www.openstreetmap.org/search?query=ibarapa#map=11/7.4104/3.2347,"Current counties are Ibarapa North, East and Central"
Ibeju,6.487,3.8927,,https://www.openstreetmap.org/search?query=ibeju#map=14/6.4870/3.8927,
Ife,7.482,4.5507,,https://www.openstreetmap.org/search?query=ife#map=11/7.4820/4.5507,
Ifetedo,7.1835,4.7,,https://www.openstreetmap.org/search?query=ifetedo#map=14/7.1835/4.7000,
Ijebu East Central,,,,,
Ijebu Eastern,,,,,
Ijebu Imusin,,,,,
Ijebu North-Western,,,,,
Ijebu Northern,,,,,
Ijebu Southern,,,,,
Ijebu Waterside,6.4545,4.5219,"Ago-ijebu, Ogun Waterside",https://www.openstreetmap.org/search?query=ijebu%20waterside#map=14/6.4545/4.5219,Needs review
Ijebu-Igbo,6.9703057,4.0005264,,https://www.openstreetmap.org/node/501494479#map=13/6.9703/4.0005,
Ijebu-Ode,6.8140077,3.9151668,,https://www.openstreetmap.org/node/501496491#map=18/6.81401/3.91517,
Ijede,6.5655788,3.5918641,,https://www.openstreetmap.org/node/501463454#map=18/6.56558/3.59280,
Ikale Orisunmeta,,,,,
Ikenne,6.8657885,3.7151785,,https://www.openstreetmap.org/node/501429971#map=18/6.86579/3.71612,
