Abeokuta,7.161,3.348
Ado-Agbessa,,
Afijio,7.713611,3.917222
Agege,6.6229165,3.3203386
Aiyedade,7.3441,4.2991
Ajeromi,6.4554,3.3359
Akoko South,,
Akoko West,,
Awori,7,3.85
Edunabon_Moro,7.55,4.45094
Egba-Ikereku,,
Egbedore,7.7887,4.4445
Egun-Awori,6.6333,2.8333
Ekiti Northern,,
Ekiti Western,,
Eredo,6.70836,3.9146
,,
,,
,,
Ese-Odo,6.2309,4.9821
Ibarapa East,7.5854,3.5173
Ibarapa West,,
Ibeju,6.487,3.8927
Ife,7.482,4.5507
Ifetedo,7.1835,4.7
Ijebu East Central,,
Ijebu Eastern,,
Ijebu Imusin,,
Ijebu North-Western,,
Ijebu Northern,,
Ijebu Southern,,
Ijebu Waterside,6.4545,4.5219
Ijebu-Igbo,6.9703057,4.0005264
Ijebu-Ode,6.8140077,3.9151668
Ijede,6.5655788,3.5918641
Ikale Orisunmeta,,
Ikenne,6.8657885,3.7151785
Ikirun,7.91667,4.666667
Ikole,7.7897,5.5106
Ikorodu,6.6191233,3.5041271
Ikosi,6.6131966,3.7061827
Ila,7.6666667,4.6666667
Ilaje,6.1972,4.7358
Ilaro,6.88653,3.0205
Ileoluji_Okeigbo,7.166667,4.71667
Ilugun_Alaro,,
Imala,7.3,3.516667
Ipara,7,3.666667
,,
Iperu,6.9117092,3.6643757
Ipetumodu,7.516667,4.45
Ipokia,6.533333,2.85
Irekari,,
Irepo,9.032,3.9463
Ishara,6.9923203,3.6808622
Iwo,7.63333,4.183333
Lekki,6.3606785,4.8333115
Makun [Shagamu],6.854495,3.6272405
Mushin,6.526262,3.3571405
Ode Remo,6.970177,3.6757865
Offin [Shagamu],,
Ogere,6.9350435,3.6354235
Oka,7.4477,5.6204
Okeho_Iganna,7.98334,3.25094
,,
Ondo,7.1,4.83333
Ondo Western,7.0164,4.7456
Oshunmaiyegun,6.433333,3.5166667
Otta,6.66667,3.7333333
,,
,,
Otun,7.4166667,3.35
,,
,,
,,
Owo,7.1962012,5.5868016
Oyo Southern,7.216667,4.233333
Shaki,7.9,4.766667
,,
Warri,5.517,5.75
